,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Metascore,IMDBRating,IMDBVotes,IMDBID,Box Office Revenue,Type
1008,Freedom Writers,2007,PG-13,05 Jan 2007,123.0,"Biography, Crime, Drama",Richard LaGravenese,"Richard LaGravenese, Freedom Writers, Erin Gruwell","Hilary Swank, Imelda Staunton, Patrick Dempsey","A young teacher inspires her class of at-risk students to learn tolerance, apply themselves and pursue education beyond high school.","English, Spanish","Germany, United States",2 wins & 1 nomination,64,7.6,"79,630",tt0463998,"$36,605,602",movie
1009,Green Lantern,2011,PG-13,17 Jun 2011,114.0,"Action, Adventure, Sci-Fi",Martin Campbell,"Greg Berlanti, Michael Green, Marc Guggenheim","Ryan Reynolds, Blake Lively, Peter Sarsgaard","Reckless test pilot Hal Jordan is granted an alien ring that bestows him with otherworldly powers that inducts him into an intergalactic police force, the Green Lantern Corps.",English,United States,3 wins & 6 nominations,39,5.5,"285,559",tt1133985,"$116,601,172",movie
1010,House Party,1990,R,09 Mar 1990,100.0,"Comedy, Music, Romance",Reginald Hudlin,Reginald Hudlin,"Christopher Reid, Robin Harris, Christopher Martin","Kid decides to go to his friend Play's house party, but neither of them can predict what's in store for them on what could be the wildest night of their lives.",English,United States,2 wins & 10 nominations,76,6.4,"15,213",tt0099800,"$26,385,627",movie
1011,House Party 2,1991,R,23 Oct 1991,94.0,"Comedy, Drama, Music","George Jackson, Doug McHenry","Reginald Hudlin, Rusty Cundieff, Daryl G. Nickens","Christopher Reid, Christopher Martin, Martin Lawrence","When Kid's college money is stolen by a crooked music promoter, Play's solution is to stage the 'mutha' of all pajama parties. Starring Kid 'n Play and Martin Lawrence.",English,United States,,,5.2,"6,681",tt0102065,"$19,438,638",movie
1012,House Party 3,1994,R,12 Jan 1994,100.0,"Comedy, Music, Romance",Eric Meza,"Reginald Hudlin, David Toney, Takashi Bufford","Christopher Reid, Christopher Martin, David Edwards","Kid, after a lifetime 'playing the field', is about to get married. 'Play' plans to throw the best bachelor party ever - until 'Kid's' three wise-crackin' nephews come to town, intent on showing them what parties are all about.",English,United States,,,4.6,"5,340",tt0110064,"$19,281,235",movie
1013,How to Be A Cowboy,2021–,TV-PG,01 Sep 2021,1.0,Reality-TV,,,Dale Brisby,"Dale Brisby uses social media savvy and rodeo skills to keep cowboy traditions alive and now he's teaching the world how to cowboy right, ol' son.",English,United States,,,7.4,164,tt13438900,,series
1014,I Got the Hook Up,1998,R,27 May 1998,93.0,Comedy,Michael Martin,"Master P, Leroy Douglas, Carrie Mungo","Master P, Anthony Johnson, Gretchen Palmer","Two small-time scam artists, Black and Blue, sell boomboxes and broken TVs from their van in a parking lot. When a shipment of cellular phones comes to them by mistake, they soon find themselves targeted by the FBI and gangsters.",English,United States,,,4.0,"2,319",tt0131436,"$10,317,779",movie
1015,In Too Deep,1999,R,25 Aug 1999,95.0,"Crime, Drama, Thriller",Michael Rymer,"Michael Henry Brown, Paul Aaron","Lloyd Adams, Philip Akin, Anna Carolina Arias","Right out of police academy, Jeff/Omar Epps starts as undercover cop in Cincinnati. First it's small time cases but he proves himself and moves up to a big case - befriending a brutal crime boss.",English,United States,2 wins,53,6.2,"6,702",tt0160401,"$14,011,454",movie
1016,Initial D,2005,TV-PG,23 Jun 2005,107.0,"Action, Comedy, Drama","Andrew Lau, Alan Mak, Ralph Rieckermann","Shuichi Shigeno, Felix Chong","Jay Chou, Anthony Chau-Sang Wong, Edison Chen","After winning his first competition, Takumi focuses his attention on drift racing, a sport he has unknowingly perfected while delivering tofu in his father's Toyota AE86.","Cantonese, English","China, Hong Kong",12 wins & 18 nominations,48,6.3,"8,883",tt0439630,,movie
1017,Janoskians: Untold and Untrue,2015,Unrated,28 Aug 2015,88.0,Comedy,Brett Weiner,Brett Weiner,"Connor Ball, Brittany Behrns, Dustin Belt",A history of the Australia comedy troupe The Janoskians leading up to their live performance at Wembley Stadium.,,United States,,,3.7,161,tt4841640,,movie
1018,Kid-E-Cats,2016–,,,5.0,"Animation, Adventure, Comedy",,"Andrey Sikorsky, Dmitriy Vysotskiy","Alyson Leigh Rosenfeld, Kate Bristol, Teale Bishopric","Three little kittens live in a little town. Cookie, Pudding and their little sister Candy. As any kids like to play, eat sweets and investigate about things around them. Every day their inquisitive mind leads those three to new ad...","Russian, English",Russia,,,7.1,106,tt7038964,,series
1019,Kuroko's Basketball,2012–2015,TV-14,07 Apr 2012,24.0,"Animation, Comedy, Sport",,,"Kenshô Ono, Yoshimasa Hosoya, Yuki Ono","The Teiko Middle School Basketball Team. The school that produced three perfect seasons in a row, with five once-in-a generation players, called ""The Generation of Miracles."" There was another player who all of them respected... A...",Japanese,Japan,1 win,,8.3,"8,964",tt2348803,,series
1020,Labyrinth,1986,PG,27 Jun 1986,101.0,"Adventure, Family, Fantasy",Jim Henson,"Dennis Lee, Jim Henson, Terry Jones","David Bowie, Jennifer Connelly, Toby Froud",Sixteen-year-old Sarah is given thirteen hours to solve a labyrinth and rescue her baby brother Toby when her wish for him to be taken away is granted by the Goblin King Jareth.,English,"United Kingdom, United States",Nominated for 1 BAFTA Award4 nominations total,50,7.3,"138,363",tt0091369,"$13,723,253",movie
1021,Letters to Juliet,2010,PG,14 May 2010,105.0,"Adventure, Comedy, Drama",Gary Winick,"Jose Rivera, Tim Sullivan","Amanda Seyfried, Gael García Bernal, Vanessa Redgrave","Sophie dreams of becoming a writer and travels to Verona, Italy where she meets the ""Secretaries of Juliet"".","English, Italian, Spanish",United States,6 nominations,50,6.5,"100,961",tt0892318,"$53,032,453",movie
1022,Level 16,2018,Not Rated,27 May 2019,102.0,"Drama, Mystery, Sci-Fi",Danishka Esterhazy,"Danishka Esterhazy, Katharine Montagu, Ken Chubb","Katie Douglas, Celina Martin, Sara Canning","In a highly regimented boarding school, a pair of students discover that things are not as they seem.","English, Russian",Canada,3 wins,46,6.1,"12,356",tt4006302,,movie
1023,Love Don't Cost a Thing,2003,PG-13,12 Dec 2003,100.0,"Comedy, Romance, Drama",Troy Byer,"Michael Swerdlick, Troy Byer","Nick Cannon, Christina Milian, Jordan Burg",A high school loser pays a cheerleader to pose as his girlfriend so he can be considered cool.,English,United States,6 nominations,37,5.2,"8,876",tt0337592,"$21,924,226",movie
1024,Love in a Puff,2010,,25 Mar 2010,104.0,"Comedy, Drama, Romance",Ho-Cheung Pang,"Heiward Mak, Ho-Cheung Pang","Miriam Chin Wah Yeung, Shawn Yue, Singh Hartihan Bitto","Hong Kong health authorities have implemented a law that bans indoor smoking. As office smokers now take their cigarette breaks outside, a mild-mannered advertising executive meets a cosmetics salesgirl as an awkward flirtation en...",Cantonese,,4 wins & 13 nominations,,7.1,"2,692",tt1602479,,movie
1025,Major Dad,1989–1993,,17 Sep 1989,30.0,"Comedy, Family",,"Richard C. Okie, Earl Pomerantz, John G. Stephens","Gerald McRaney, Shanna Reed, Nicole Dubuc","A hard-nosed, conservative Marine impulsively proposes to the liberal reporter doing a story on him and agrees to help her raise her three daughters.",English,United States,Nominated for 1 Primetime Emmy. 2 wins & 8 nominations total,,6.5,"2,997",tt0096643,,series
1026,Mars Attacks!,1996,PG-13,13 Dec 1996,106.0,"Comedy, Sci-Fi",Tim Burton,"Len Brown, Woody Gelman, Wally Wood","Jack Nicholson, Pierce Brosnan, Sarah Jessica Parker",Earth is invaded by Martians with unbeatable weapons and a cruel sense of humor.,"English, French",United States,3 wins & 19 nominations,52,6.4,"228,191",tt0116996,"$37,781,197",movie
1027,Marshall,2017,PG-13,13 Oct 2017,118.0,"Biography, Crime, Drama",Reginald Hudlin,"Michael Koskoff, Jacob Koskoff","Chadwick Boseman, Josh Gad, Kate Hudson","The story of Thurgood Marshall, the crusading lawyer who would become the first African-American Supreme Court Justice, as he battles through one of his career-defining cases.",English,"United States, China, Hong Kong",Nominated for 1 Oscar. 4 wins & 21 nominations total,66,7.3,"24,549",tt5301662,"$10,051,659",movie
1028,My Boss's Daughter,2003,PG-13,22 Aug 2003,86.0,"Comedy, Romance",David Zucker,David Dorfman,"Ashton Kutcher, Tara Reid, Andy Richter","After a man is asked to house sit for his boss, he becomes determined to get closer to the boss's daughter, but events keep unfolding that stop him from achieving his goal.",English,,2 nominations,15,4.7,"29,698",tt0270980,,movie
1029,Mystery Men,1999,PG-13,06 Aug 1999,121.0,"Action, Comedy, Fantasy",Kinka Usher,"Neil Cuthbert, Bob Burden","Ben Stiller, Janeane Garofalo, William H. Macy",A group of inept amateur superheroes must try to save the day when a supervillain threatens to destroy a major superhero and the city.,English,United States,3 nominations,65,6.1,"67,615",tt0132347,"$29,762,011",movie
1030,Once Upon a Time in America,1984,R,01 Jun 1984,229.0,"Crime, Drama",Sergio Leone,"Harry Grey, Leonardo Benvenuti, Piero De Bernardi","Robert De Niro, James Woods, Elizabeth McGovern","A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan 35 years later, where he must once again confront the ghosts and regrets of his old life.","English, Italian, French, Yiddish, Hebrew","Italy, United States",Won 2 BAFTA 12 wins & 12 nominations total,75,8.3,"351,036",tt0087843,"$5,321,508",movie
1031,Open Season 2,2008,PG,24 Sep 2008,76.0,"Animation, Adventure, Comedy, Family","Matthew O'Callaghan, Todd Wilderman(co-director)",David I. Stern,"Joel McHale, Mike Epps, Jane Krakowski, Billy Connolly","After falling head over hooves in love with Giselle, Elliot's road to the altar takes a slight detour when Mr. Weenie is kidnapped by a group of pampered pets determined to return him to his owners.",English,"USA, Canada",2 nominations.,,5.6,"22,384",tt1107365,,movie
1032,Osmosis Jones,2001,PG,10 Aug 2001,95.0,"Animation, Action, Adventure","Bobby Farrelly, Peter Farrelly",Marc Hyman,"Laurence Fishburne, Chris Rock, David Hyde Pierce","A policeman white blood cell, with the help of a cold pill, must stop a deadly virus from destroying the human they live in, Frank.",English,United States,1 win & 8 nominations,57,6.3,"36,438",tt0181739,"$13,596,911",movie
1033,Poseidon,2006,PG-13,12 May 2006,98.0,"Action, Adventure, Thriller",Wolfgang Petersen,"Mark Protosevich, Paul Gallico","Richard Dreyfuss, Kurt Russell, Emmy Rossum","On New Year's Eve, the luxury ocean liner Poseidon capsizes after being swamped by a rogue wave. The survivors are left to fight for their lives as they attempt to escape the sinking ship.","English, Spanish",United States,Nominated for 1 Oscar. 7 nominations total,50,5.7,"105,593",tt0409182,"$60,674,817",movie
1034,Rhyme & Reason,1997,R,05 Mar 1997,90.0,"Documentary, Music",Peter Spirer,,"B-Real, Kurtis Blow, Da Brat","A study in the world of hip-hop, done mostly with interviews, in order to see why it is as popular as it is today and what the future holds.",English,United States,,,7.4,889,tt0120014,"$1,608,277",movie
1035,Same Kind of Different as Me,2017,PG-13,20 Oct 2017,119.0,"Biography, Drama",Michael Carney,"Ron Hall, Denver Moore, Lynn Vincent","Greg Kinnear, Renée Zellweger, Djimon Hounsou","International art dealer Ron Hall must befriend a dangerous homeless man in order to save his struggling marriage to his wife, a woman whose dreams will lead all three of them on the journey of their lives.",English,United States,1 win & 1 nomination,47,6.6,"8,249",tt1230168,"$6,423,605",movie
1036,School of Rock,2003,PG-13,03 Oct 2003,109.0,"Comedy, Music",Richard Linklater,Mike White,"Jack Black, Mike White, Joan Cusack","After being kicked out of his rock band, Dewey Finn becomes a substitute teacher of an uptight elementary private school, only to try and turn his class into a rock band.",English,"United States, Germany",8 wins & 23 nominations,82,7.2,"306,241",tt0332379,"$81,261,177",movie
1037,Snervous Tyler Oakley,2015,PG-13,11 Dec 2015,82.0,Documentary,Amy Rice,,"Korey Kuhl, Vinny Grosso, Luke Cutforth","After eight years of sharing snippets of his life online, see the intimate truth of Tyler Oakley's relationship with family, followers and fame on his sold out international tour.",English,United States,,,5.5,476,tt5073746,,movie
1038,Tears of the Sun,2003,R,07 Mar 2003,121.0,"Action, Drama, Thriller",Antoine Fuqua,"Alex Lasker, Patrick Cirillo","Bruce Willis, Cole Hauser, Monica Bellucci",A Special-Ops commander leads his team into the Nigerian jungle in order to rescue a doctor who will only join them if they agree to save 70 refugees too.,English,United States,2 nominations,48,6.6,"123,175",tt0314353,"$43,734,876",movie
1039,The Blue Lagoon,1980,R,02 Jul 1980,104.0,"Adventure, Drama, Romance",Randal Kleiser,"Henry De Vere Stacpoole, Douglas Day Stewart","Brooke Shields, Christopher Atkins, Leo McKern","In the Victorian period, two children are shipwrecked on a tropical island in the South Pacific. With no adults to guide them, the two make a simple life together, unaware that sexual maturity will eventually intervene.",English,United States,Nominated for 1 Oscar. 4 wins & 8 nominations total,31,5.8,"70,810",tt0080453,"$58,853,106",movie
1040,The Golden Child,1986,PG-13,12 Dec 1986,94.0,"Action, Adventure, Comedy",Michael Ritchie,Dennis Feldman,"Eddie Murphy, J.L. Reate, Charles Dance",A private detective specializing in missing children is charged with the task of finding a special child whom dark forces want to eliminate.,English,United States,2 nominations,37,5.9,"56,623",tt0091129,"$79,817,937",movie
1041,The Guns of Navarone,1961,Not Rated,28 Apr 1961,158.0,"Action, Adventure, Drama",J. Lee Thompson,"Alistair MacLean, Carl Foreman","David Niven, Gregory Peck, Anthony Quinn","A team of Allied saboteurs are assigned an impossible mission: infiltrate an impregnable Nazi-held Greek island and destroy the two enormous long-range field guns that prevent the rescue of 2,000 trapped British soldiers.","English, Greek, German, Latin","United Kingdom, United States",Won 1 Oscar. 4 wins & 12 nominations total,72,7.5,"51,623",tt0054953,,movie
1042,The Interview,2014,R,24 Dec 2014,112.0,"Action, Adventure, Comedy","Evan Goldberg, Seth Rogen","Dan Sterling, Seth Rogen, Evan Goldberg","James Franco, Seth Rogen, Randall Park","Dave Skylark and his producer Aaron Rapaport run the celebrity tabloid show ""Skylark Tonight"". When they land an interview with a surprise fan, North Korean dictator Jong-Un Kim, they are recruited by the CIA to assassinate him.","English, Korean",United States,1 win & 6 nominations,52,6.5,"332,600",tt2788710,"$6,105,175",movie
1043,The Nutty Professor,1996,PG-13,28 Jun 1996,95.0,"Comedy, Romance, Sci-Fi",Tom Shadyac,"Jerry Lewis, Bill Richmond, David Sheffield","Eddie Murphy, Jada Pinkett Smith, James Coburn",Grossly overweight yet good-hearted professor Sherman Klump takes a special chemical that turns him into the slim but obnoxious Buddy Love.,English,United States,Won 1 Oscar. 10 wins & 12 nominations total,62,5.7,"117,774",tt0117218,"$128,814,019",movie
1045,Turning Point: 9/11 and the War on Terror,2021,TV-14,01 Sep 2021,,"Documentary, History, War",,,James LaPorta,"This unflinching series documents the 9/11 terrorist attacks, from Al Qaeda's roots in the 1980s to America's forceful response, both at home and abroad.",English,United States,,,8.0,"9,593",tt15260794,,series
1046,"Welcome Home, Roscoe Jenkins",2008,PG-13,08 Feb 2008,114.0,"Comedy, Romance",Malcolm D. Lee,Malcolm D. Lee,"Martin Lawrence, Louis C.K., James Earl Jones","Dr. RJ Stevens is a talk show host who visits his family in the deep south. While there he reunites with his brother Otis, his sister Betty, his cousin/rival Clyde and his childhood love interest Lucinda Allen.",English,United States,,46,5.5,"14,915",tt0494652,"$42,436,517",movie
1047,In the Line of Fire,1993,R,09 Jul 1993,128.0,"Action, Crime, Drama",Wolfgang Petersen,Jeff Maguire,"Clint Eastwood, John Malkovich, Rene Russo","Secret Service agent Frank Horrigan couldn't save Kennedy, but he's determined not to let a clever assassin take out this president.",English,United States,Nominated for 3 Oscars. 2 wins & 17 nominations total,74,7.2,"104,804",tt0107206,"$102,314,823",movie
1048,Sparking Joy with Marie Kondo,2021–,TV-PG,31 Aug 2021,,"Short, Drama, History",,,Marie Kondo,"In this reality series, Marie Kondo brings her joyful tidying tactics to people struggling to balance work and home life and shares her own world.","English, Japanese",United States,1 win & 1 nomination,,6.3,390,tt14550060,,series
1049,Hometown Cha-Cha-Cha,2021–,TV-14,28 Aug 2021,,"Comedy, Romance",,,"Shin Min-a, Kim Seon-Ho, Gina Su","A big-city dentist opens up a practice in a close-knit seaside village, home to a charming jack-of-all-trades who is her polar opposite in every way.",Korean,South Korea,,,8.4,"12,582",tt14518756,,series
1050,The Ingenuity of the Househusband,2021–,,29 Aug 2021,,"Short, Comedy",,,Kenjirô Tsuda,"Web series of shorts starring Kenjiro Tsuda, the voice actor of The Way of the Househusband (2021), as himself who is a retired gangster who spends his time as a househusband.",Japanese,Japan,,,6.7,456,tt15170710,,series
1051,2 Alone in Paris,2008,,25 Jun 2008,94.0,Comedy,"Ramzy Bedia, Eric Judor","Eric Judor, Ramzy Bedia, Lionel Dutemple","Ramzy Bedia, Eric Judor, Hafid F. Benamar",Everybody in Paris has vanished exept a clueless cop and the robber he's been pursuing for years.,French,France,,,5.4,"2,540",tt1077097,,movie
1052,Bread Barbershop,2020–,TV-Y,15 Aug 2020,,Animation,,,"Marc Thompson, Elinor Vanderburg, Courtney Shaw","In a town filled with food, Bread is a master cake decorator who gives life-changing makeovers that will put any customer in an amazing mood.",English,South Korea,,,7.2,148,tt12912830,,series
1053,Thimmarusu: Assignment Vali,2021,,30 Jul 2021,127.0,"Crime, Drama, Thriller",Sharan Koppisetty,"M.G. Srinivas, Sharan Koppisetty, Veda Vyas","Satyadev Kancharana, Priyanka Jawalkar, Brahmaji",A lawyer battles corruption both inside and outside the courtroom.,Telugu,India,,,7.1,"1,599",tt13310936,,movie
1054,Wind River,2017,R,18 Aug 2017,107.0,"Crime, Drama, Mystery",Taylor Sheridan,Taylor Sheridan,"Elizabeth Olsen, Jeremy Renner, Graham Greene",A veteran hunter helps an FBI agent investigate the murder of a young woman on a Wyoming Native American reservation.,English,"United States, United Kingdom, France",15 wins & 26 nominations,73,7.7,"251,252",tt5362988,"$33,800,859",movie
1055,C Kkompany,2008,Not Rated,29 Aug 2008,127.0,"Comedy, Drama, Thriller",Sachin Yardi,"Shabbir Ahmed, Anand Raj Anand, Rahul Awate","Tusshar Kapoor, Anupam Kher, Rajpal Naurang Yadav","Three down on their luck men adapts a strategical idea of extortion, only to find themselves in deep trouble.",Hindi,India,,,5.5,"1,184",tt1170399,,movie
1056,D.P.,2021–,TV-MA,27 Aug 2021,,"Action, Crime, Drama",,,"Jung Hae-In, Harrison Xu, Sukku Son",A young private's assignment to capture army deserters reveals the painful reality endured by each enlistee during his compulsory call of duty.,Korean,,4 wins & 7 nominations,,8.2,"5,662",tt13024974,,series
1057,Deadly Sins,1995,R,17 Oct 1995,98.0,"Drama, Horror, Mystery",Michael Robison,"John Langley, Malcolm Barbour","David Keith, Peter Hanlon, Joely Collins","New area deputy Jack Gales arrives on the island to find that a girl at the local Catholic girls' school has been found dead. After investigating, he finds that students have been disappearing regularly for five years, about the t...",English,"Canada, United States",,,4.6,514,tt0112830,,movie
1058,EMI: Liya Hai To Chukana Padega,2008,,07 Nov 2008,180.0,"Comedy, Crime, Drama","Saurabh Kabra, Sanjay Khanna","Shabbir Ahmed, Khalid Azmi, Shakeel Azmi","Sanjay Dutt, Urmila Matondkar, Anu Ansari","Criminal don-aspiring politician Shabbirbhai runs a collection agency in Mumbai's Bhendi Bazar called 'Good Luck Recovery'. He had started this business with 4 employees, but now has over 400 of them. His uses his influence and go...",Hindi,India,,,4.4,623,tt1221133,,movie
1059,He's All That,2021,TV-14,27 Aug 2021,88.0,"Comedy, Romance",Mark Waters,R. Lee Fleming Jr.,"Addison Rae, Tanner Buchanan, Madison Pettis","A teenage girl sets out to give a nebbish classmate the ultimate high school makeover. An updated remake of the 1999 film, 'She's All That'.","English, Ukrainian",United States,,36,4.4,"25,185",tt4590256,,movie
1060,I Heart Arlo,2021–,TV-Y7,27 Aug 2021,11.0,"Animation, Short, Adventure",,Ryan Crego,"Michael J. Woodard, Mary Lambert, Brett Gelman",It's a whole new world for Arlo and his one-of-a kind pals when they set out to restore a run-down New York City neighborhood and make it their own.,English,United States,,,7.1,233,tt13573450,,series
1061,King of Boys: The Return of the King,2021,TV-MA,27 Aug 2021,,"Crime, Drama",,Kemi Adetiba,"Sola Sobowale, Efa Iwara, Titi Kuti","Alhaja Eniola Salami starts anew and sets her sights on a different position of power, fueled by revenge, regret and ruthlessness.","English, Yoruba, Ibo",Nigeria,,,6.8,271,tt15192042,,series
1062,Koi Aap Sa: But Lovers Have to Be Friends,2005,,14 Oct 2005,142.0,"Comedy, Drama, Romance",Partho Mitra,"Mahesh Pandey, Sameer, Dheeraj Sarna","Aftab Shivdasani, Anita Hassanandani Reddy, Dipannita Sharma","An emotional Mumbai-based football player, Rohan, seeks the assistance of childhood friend, Simran, to successfully woo fellow-collegian, Preeti. Simran herself is about to be engaged to U.S.-based Vicky. After the engagement cere...",Hindi,India,,,5.6,272,tt0488840,,movie
1063,Krishna Cottage,2004,Not Rated,02 Apr 2004,124.0,"Horror, Mystery, Romance",Santram Varma,Abhigyan Jha,"Sohail Khan, Isha Koppikar, Anita Hassanandani Reddy",A group of collegians are forced to take shelter in a mysterious Krishna Cottage for the night. Little do they know that the cottage is haunted by a spirit.,Hindi,India,,,5.1,"1,215",tt0408976,,movie
1064,Kucch To Hai,2003,Not Rated,24 Jan 2003,143.0,"Horror, Mystery","Anurag Basu, Anil v Kumar","Rajeev Jhaveri, Anurag Prapanna, Umesh Shukla","Tusshar Kapoor, Esha Deol, Ramesh Bhatkar","Indian film-makers have now come up with their very own ""I Know What You Did Last Summer', a story centering around a College Professor, who kills his wife, and hides her body in the College campus. When some students, who have be...",Hindi,India,2 nominations,,4.3,931,tt0348662,,movie
1065,Kyaa Kool Hai Hum,2005,Unrated,06 May 2005,172.0,"Comedy, Mystery",Sangeeth Sivan,"Sachin Yardi, Pankaj Trivedi","Tusshar Kapoor, Riteish Deshmukh, Isha Koppikar",Karan and Rahul are fashion designers and surives on food of others functions. But some twists and confusion changes their life.,Hindi,India,1 win & 6 nominations,,6.1,"3,607",tt0456500,,movie
1066,Kyaa Kool Hain Hum 3,2016,,22 Jan 2016,124.0,Comedy,Umesh Ghadge,"Mushtaq Sheikh, Milap Zaveri","Tusshar Kapoor, Aftab Shivdasani, Krishna Abhishek","A porn actor uses his fellow adult movie stars in creating a fake traditional family, in order to impress his girlfriend's conservative father.",Hindi,India,,,1.9,"4,401",tt5290620,,movie
1067,Kyaa Super Kool Hain Hum,2012,Not Rated,27 Jul 2012,136.0,Comedy,Sachin Yardi,"Sukhmani Sadana, Sachin Yardi","Riteish Deshmukh, Tusshar Kapoor, Neha Sharma",Adi and Sid want to make big but always run out of luck and series of confusion start taking place when they reach Goa.,Hindi,India,2 wins & 8 nominations,,5.0,"3,986",tt2027138,,movie
1068,Kyo Kii... Main Jhuth Nahin Bolta,2001,Not Rated,21 Sep 2001,131.0,"Action, Comedy, Drama",David Dhawan,"David Dhawan, Imtiaz Patel, Yunus Sajawal","Govinda, Sushmita Sen, Rambha","Raj is a successful lawyer due to constant cheating and dishonesty. When his wife comes to know about this, she threatens to leave him. Fearful of his parents' divorce, Raj's son wishes that his father become unable to lie.",Hindi,India,2 nominations,,5.4,"2,281",tt0297241,,movie
1069,"LSD: Love, Sex Aur Dhokha",2010,Not Rated,19 Mar 2010,155.0,"Comedy, Crime, Drama",Dibakar Banerjee,"Dibakar Banerjee, Kanu Behl","Nushrratt Bharuccha, Ashish Chhipa, Anshuman Jha","A video camcorder, a store security camera, and concealed cameras candidly expose lives in three loosely-linked tales.","Hindi, Punjabi, English",India,7 wins & 4 nominations,,7.2,"5,763",tt1608777,,movie
1070,Mission Istaanbul: Darr Ke Aagey Jeet Hai!,2008,,25 Jul 2008,130.0,"Action, Adventure, Drama",Apoorva Lakhia,"Shabbir Ahmed, Chirantan Bhatt, Ege","Vivek Oberoi, Zayed Khan, Shriya Saran",A news reporter must uncover the secret on the 13th floor of a News Station.,"Hindi, English",India,1 nomination,,3.5,"1,184",tt1179781,,movie
1071,Once Upon a Time in Mumbaai,2010,Not Rated,30 Jul 2010,134.0,"Action, Crime, Drama",Milan Luthria,"Rajat Arora, Bhrigu Brinda, Aditi Mediratta","Ajay Devgn, Emraan Hashmi, Kangana Ranaut","As a smuggler rises to power in in 1970s Mumbai, a younger gangster seeks to overthrow him and a police officer is caught in the middle.",Hindi,India,17 wins & 45 nominations,,7.4,"17,820",tt1395054,,movie
1072,Ragini MMS,2011,Not Rated,13 May 2011,93.0,"Drama, Horror, Mystery",Pawan Kripalani,"Vaspar Dandiwala, Pawan Kripalani, Virag Mishra","Kainaz Motivala, Rajkummar Rao, Rajat Kaul","Out to relax and have fun at a farmhouse, a couple experience horror at the hands of an unknown entity.","Hindi, Marathi, English",India,4 nominations,,5.1,"2,686",tt1890513,,movie
1073,Ragini MMS 2,2014,Not Rated,21 Mar 2014,119.0,Horror,Bhushan Patel,"Tanveer Bookwala, Ishita Moitra","Sunny Leone, Saahil Prem, Parvin Dabas",A sleazy film director's decision to shoot his latest erotic horror movie in a notorious haunted house angers the vengeful spirit of its past inhabitant.,"English, Hindi, Marathi",India,5 wins & 4 nominations,,3.9,"2,944",tt2609218,,movie
1074,Rebellion,2016–2019,TV-MA,24 Apr 2016,258.0,"Drama, History, War",,Colin Teevan,"Michael Ford-FitzGerald, Jordanne Jones, Brian Gleeson",Rebellion is a five part serial drama about the birth of modern Ireland. The story is told from the perspectives of a group of fictional characters who live through the political events of the 1916 Easter Rising.,"English, Irish Gaelic",Ireland,1 win & 7 nominations,,7.1,"3,929",tt4699982,,series
1076,Shootout at Lokhandwala,2007,Not Rated,25 May 2007,122.0,"Action, Crime, History",Apoorva Lakhia,"Apoorva Lakhia, Suresh Nair, Raj Vasant","Amitabh Bachchan, Sanjay Dutt, Suniel Shetty","An account of the gangster Mahindra Dolas and his gang, which terrorized Mumbai City, and a massive war between Mumbai Police and gangs during 16 November 1991.",Hindi,India,4 wins & 7 nominations,,7.1,"10,331",tt0811066,"$289,232",movie
1077,Shor in the City,2010,,28 Apr 2011,112.0,"Crime, Drama","Krishna D.K., Raj Nidimoru","Krishna D.K., Raj Nidimoru, Sita Menon","Tusshar Kapoor, Sendhil Ramamurthy, Nikhil Dwivedi",Various residents and career-criminals face challenges in crime-laden Mumbai.,"Hindi, Marathi, English",India,2 wins & 13 nominations,,7.2,"3,785",tt1916728,,movie
1078,The Dirty Picture,2011,Not Rated,02 Dec 2011,145.0,"Biography, Comedy, Drama",Milan Luthria,"Rajat Arora, Aditi Mediratta, Rajshri Sudhakar","Vidya Balan, Emraan Hashmi, Tusshar Kapoor","The love story between an actress and a director, inspired by the life of the late south Indian actress Silk Smitha.","Hindi, Tamil, English",India,34 wins & 27 nominations,,6.6,"9,829",tt1954206,,movie
1079,Titletown High,2021–,TV-14,27 Aug 2021,1.0,"Reality-TV, Sport",,,"Grayson Leavy, Jake Garcia, Lenley Gross","Titletown High follows the nation's winningest high school football team as they tackle age-old rivalries, teenage romance and real-life drama while vying for a championship title under infamous head coach Rush Propst.",English,United States,,,5.7,353,tt15192032,,series
1080,Edens Zero,2021–,TV-14,11 Apr 2021,1.0,"Animation, Action, Adventure",,,"Takuma Terashima, Mikako Komatsu, Shiori Izawa","A young boy cut off from the world meets his friends and sets off on a hard, long journey to be reborn.",Japanese,Japan,,,7.2,"1,502",tt13167196,,series
1081,Family Reunion,2019–2022,TV-PG,10 Jul 2019,1.0,"Short, Comedy, Family",,Meg DeLoatch,"Talia Jackson, Tia Mowry-Hardrict, Anthony Alabi","When the McKellan family moves from Seattle to Georgia to be closer to extended family, the transition is like being a catfish out of water.",English,United States,Nominated for 1 Primetime Emmy. 4 wins & 12 nominations total,,6.5,"2,891",tt9153270,,series
1082,"Bob Ross: Happy Accidents, Betrayal & Greed",2021,TV-14,25 Aug 2021,92.0,Documentary,Joshua Rofé,,"Bob Ross, Steve Ross, Vicky Ross",Bob Ross brought joy to millions as the world's most famous art instructor. But a battle for his business empire cast a shadow over his happy trees.,English,United States,1 nomination,55,6.9,"6,035",tt14539744,,movie
